id,name,externalid,,,,
2519,Gerlafingen,,,,423,Essertines s/Yverdon
2520,Halten,,,,424,Essertines sur Yverdon
2523,Horriwil,,,,425,Esslingen
2524,Hüniken,,,,426,Estavayer-Le-Lac
2525,Kriegstetten,,,,427,Estavayer-le-Gibloux
2526,Lohn-Ammannsegg,,,,428,Estavayer-le-lac
2527,Luterbach,,,,429,Etagnières
2528,Obergerlafingen,,,,430,Etoy
2529,Oekingen,,,,431,Ettingen
2530,Recherswil,,,,432,Ettiswil
2532,Subingen,,,,433,Euthal
2534,Zuchwil,,,,434,Eysins
2535,Drei Höfe,,,,435,Fahrwangen
2541,Balm bei Günsberg,,,,436,Falera
2542,Bellach,,,,437,Faoug
2543,Bettlach,,,,438,Fehraltorf
2544,Feldbrunnen-St. Niklaus,,,,439,Feldbach
2545,Flumenthal,,,,440,Feldis
2546,Grenchen,,,,441,Feldmeilen
2547,Günsberg,,,,442,Felsberg
2548,Hubersdorf,,,,443,Feuerthalen
2549,Kammersrohr,,,,444,Fideris
2550,Langendorf,,,,445,Fieschertal
2551,Lommiswil,,,,446,Filzbach
2553,Oberdorf ,,,,447,Finsterwald
2554,Riedholz,,,,448,Finsterwald b. Entlebuch
2555,Rüttenen,,,,449,Fischbach
2556,Selzach,,,,450,Fischbach-Göslikon
2571,Boningen,,,,451,Fischingen
2572,Däniken,,,,452,Flaach
2573,Dulliken,,,,453,Flanthey
2574,Eppenberg-Wöschnau,,,,454,Flawil
2575,Fulenbach,,,,455,Flims Dorf
2576,Gretzenbach,,,,456,Flims Waldhaus
2578,Gunzgen,,,,457,Flims-Dorf
2579,Hägendorf,,,,458,Flueelen
2580,Kappel ,,,,459,Flums
2581,Olten,,,,460,Flumserberg
2582,Rickenbach ,,,,461,Flurlingen
2583,Schönenwerd,,,,462,Flüelen
2584,Starrkirch-Wil,,,,463,Fontainemelon
2585,Walterswil ,,,,464,Fontainemlon
2586,Wangen bei Olten,,,,465,Fontanezier
26,Dorf,,,,466,Fontenais
2601,Solothurn,,,,467,Fontnas
261,Zürich,,,,468,Fornet-Dessus
2611,Bärschwil,,,,469,Founex
2612,Beinwil ,,,,470,Frauenfeld
2613,Breitenbach,,,,471,Frauenkappelen
2614,Büsserach,,,,472,Frenkendorf
2615,Erschwil,,,,473,Fresens
2616,Fehren,,,,474,Fribourg
2617,Grindel,,,,475,Friltschen
2618,Himmelried,,,,476,Frinvillier
2619,Kleinlützel,,,,477,Froideville
2620,Meltingen,,,,478,Frutigen
2621,Nunningen,,,,479,Frümsen
2622,Zullwil,,,,480,Fully
27,Feuerthalen,,,,481,Fällanden
2701,Basel,,,,482,Féchy
2702,Bettingen,,,,483,Füllinsdorf
2703,Riehen,,,,484,Fürstenaubruck
2761,Aesch ,,,,485,Gachnang
2762,Allschwil,,,,486,Gais
2763,Arlesheim,,,,487,Galgenen
2764,Biel-Benken,,,,488,Gals
2765,Binningen,,,,489,Gams
2766,Birsfelden,,,,490,Gansingen
2767,Bottmingen,,,,491,Ganterschwil
2768,Ettingen,,,,492,Gasel
2769,Münchenstein,,,,493,Gattikon
2770,Muttenz,,,,494,Gelfingen
2771,Oberwil ,,,,495,Gelterkinden
2772,Pfeffingen,,,,496,Genestrerio
2773,Reinach ,,,,497,Genolier
2774,Schönenbuch,,,,498,Genève
2775,Therwil,,,,499,Gersau
2781,Blauen,,,,500,Gerzensee
2782,Brislach,,,,501,Geuensee
2783,Burg im Leimental,,,,502,Giebenach
2784,Dittingen,,,,503,Giez
2785,Duggingen,,,,504,Giffers
2786,Grellingen,,,,505,Gimel
2787,Laufen,,,,506,Gipf-Oberfrick
2788,Liesberg,,,,507,Giswil
2789,Nenzlingen,,,,508,Giubiasco
2790,Roggenburg,,,,509,Glarus
2791,Röschenz,,,,510,Glattbrugg
2792,Wahlen,,,,511,Glis
2793,Zwingen,,,,512,Glovelier
28,Flaach,,,,513,Gockhausen
2821,Arisdorf,,,,514,Gohl
2822,Augst,,,,515,Goldach
2823,Bubendorf,,,,516,Goldiwil
2824,Frenkendorf,,,,517,Gollion
2825,Füllinsdorf,,,,518,Gommiswald
2826,Giebenach,,,,519,Gonten
2827,Hersberg,,,,520,Gontenschwil
2828,Lausen,,,,521,Gordola
2829,Liestal,,,,522,Gorgier
2830,Lupsingen,,,,523,Gossau
2831,Pratteln,,,,524,Gossau SG
2832,Ramlinsburg,,,,525,Gossliwil
2833,Seltisberg,,,,526,Goumoens-le-Jux
2834,Ziefen,,,,527,Grabs
2841,Anwil,,,,528,Grabserberg
2842,Böckten,,,,529,Grandcour
2843,Buckten,,,,530,Grandfontaine
2844,Buus,,,,531,Grandson
2845,Diepflingen,,,,532,Grandvaux
2846,Gelterkinden,,,,533,Grandvillard
2847,Häfelfingen,,,,534,Granges-Marnand
2848,Hemmiken,,,,535,Granges-Marnaud
2849,Itingen,,,,536,Granges-Paccot
2850,Känerkinden,,,,537,Granois(Savièse)
2851,Kilchberg ,,,,538,Grasswil
2852,Läufelfingen,,,,539,Greifensee
2853,Maisprach,,,,540,Grenchen
2854,Nusshof,,,,541,Grimisuat
2855,Oltingen,,,,542,Grossdietwil
2856,Ormalingen,,,,543,Grosshöchstetten
2857,Rickenbach ,,,,544,Grund bei Gstaad
2858,Rothenfluh,,,,545,Gryon
2859,Rümlingen,,,,546,Grächen
2860,Rünenberg,,,,547,Gräslikon
2861,Sissach,,,,548,Grône
2862,Tecknau,,,,549,Grünenmatt
2863,Tenniken,,,,550,Grüt (Gossau)
2864,Thürnen,,,,551,Gstaad
2865,Wenslingen,,,,552,Gsteig
2866,Wintersingen,,,,553,Gsteig b. Gstaad
2867,Wittinsburg,,,,554,Guemlingen
2868,Zeglingen,,,,555,Guggisberg
2869,Zunzgen,,,,556,Gumefens
2881,Arboldswil,,,,557,Guntalingen
2882,Bennwil,,,,558,Gunten
2883,Bretzwil,,,,559,Guntershausen
2884,Diegten,,,,560,Guntmadingen
2885,Eptingen,,,,561,Gunzwil
2886,Hölstein,,,,562,Gunzwil / Bäch
2887,Lampenberg,,,,563,Gurmels
2888,Langenbruck,,,,564,Gurtnellen
2889,Lauwil,,,,565,Gwatt
2890,Liedertswil,,,,566,Gysenstein
2891,Niederdorf,,,,567,Gähwil
2892,Oberdorf ,,,,568,Gümligen
2893,Reigoldswil,,,,569,Gümmenen
2894,Titterten,,,,570,Gümmenen / Mauss
2895,Waldenburg,,,,571,Güttingen
29,Flurlingen,,,,572,Habsburg
2901,Gächlingen,,,,573,Hagen bei Amriswil
2903,Löhningen,,,,574,Hagenbuch
2904,Neunkirch,,,,575,Hagendorn
2914,Büttenhardt,,,,576,Hagneck
2915,Dörflingen,,,,577,Halten
